game_id	game_date	site	team_id	team_name	team_minutes	team_fgm	team_fga	team_three_fgm	team_three_fga	team_ft	team_fta	team_pts	team_offreb	team_defreb	team_totreb	team_ast	team_to	team_stl	team_blk	team_fouls
1430094	12/06/2012	Away	229	Fla. Atlantic	200:00	29	60	7	18	23	30	88	12	22	34	11	12	11	6	17
1430094	12/06/2012	Home	678	Stetson	200:00	28	60	6	22	16	19	78	11	22	33	16	18	3	2	24
1490072	01/09/2013	Away	683	Stony Brook	200:00	22	59	10	29	8	12	62	10	30	40	14	8	7	5	13
1490072	01/09/2013	Home	62	Binghamton	200:00	14	53	2	16	7	10	37	10	29	39	4	15	4	2	18
1490073	01/05/2013	Away	493	North Dakota St.	200:00	24	55	4	18	11	13	63	13	24	37	12	7	8	1	14
1490073	01/05/2013	Home	2707	UMKC	200:00	13	40	3	15	15	20	44	5	20	25	5	14	4	4	12
1710272	02/23/2013	Away	2707	UMKC	200:00	22	57	7	20	11	19	62	13	24	37	8	16	6	2	20
1710272	02/23/2013	Home	692	Tennessee Tech	200:00	23	50	5	16	17	22	68	6	26	32	10	13	11	6	19
1637112	02/15/2013	Away	738	Vermont	200:00	18	49	5	19	7	15	48	15	15	30	12	13	4	2	17
1637112	02/15/2013	Home	683	Stony Brook	200:00	24	50	7	17	10	18	65	15	22	37	15	7	3	4	16
1388352	11/23/2012	Neutral	270	Hampton	200:00	22	52	2	11	5	10	51	9	35	44	9	24	6	2	17
1388352	11/23/2012	Neutral	2915	Wofford	200:00	18	56	6	25	14	22	56	9	23	32	12	15	14		10
1452574	12/22/2012	Away	201	Eastern Ill.	200:00	19	42	6	17	12	19	56	11	14	25	12	19	7	2	21
1452574	12/22/2012	Home	189	Drake	200:00	23	41	13	22	15	18	74	5	14	19	17	14	7	5	20
1452571	12/23/2012	Away	610	St. Mary's (CA)	200:00	28	56	11	27	8	17	75	8	28	36	10	17	4	2	27
1452571	12/23/2012	Home	504	UNI	200:00	25	50	7	16	25	37	82	4	25	29	11	10	8	2	17
1452570	12/23/2012	Away	647	South Carolina St.	200:00	18	58	4	12	1	3	41	16	19	35	12	18	5	2	10
1452570	12/23/2012	Home	147	Clemson	200:00	30	61	8	25	9	16	77	14	25	39	22	9	11	6	9
1452573	12/22/2012	Neutral	381	Manhattan	200:00	18	45	8	24	13	24	57	10	13	23	16	13	13	4	21
1452573	12/22/2012	Neutral	648	South Carolina	200:00	20	49	6	20	17	25	63	19	23	42	10	19	6	1	19
1541494	01/26/2013	Away	80	Brown	225:00	21	58	7	22	15	24	64	8	26	34	13	15	5	6	28
1541494	01/26/2013	Home	813	Yale	225:00	23	57	7	14	23	33	76	14	33	47	20	16	9	5	23
1541493	01/26/2013	Away	629	San Francisco	200:00	20	51	9	24	3	8	52	6	27	33	8	17	5	1	17
1541493	01/26/2013	Home	260	Gonzaga	200:00	26	58	8	20	6	11	66	8	29	37	15	8	13	3	10
1790694	03/02/2013	Away	90	Cal Poly	200:00	25	51	7	17	7	11	64	9	21	30	18	8	3	3	15
1790694	03/02/2013	Home	277	Hawaii	200:00	21	52	5	15	14	19	61	10	18	28	12	3	3	4	12
1790693	03/02/2013	Away	29	Arizona	200:00	24	54	10	22	11	14	69	9	25	34	13	16	4	4	11
1790693	03/02/2013	Home	110	UCLA	200:00	29	62	7	17	9	11	74	8	21	29	17	9	11	1	14
1685692	02/21/2013	Away	229	Fla. Atlantic	225:00	24	67	4	19	5	9	57	14	24	38	9	9	4	7	19
1685692	02/21/2013	Home	497	North Texas	225:00	21	57	2	6	22	25	66	14	31	45	8	11	4	6	11
1613954	02/12/2013	Away	735	Valparaiso	200:00	23	47	4	16	18	20	68	9	22	31	11	17	5	4	16
1613954	02/12/2013	Home	810	Wright St.	200:00	23	55	3	13	12	14	61	10	17	27	12	12	8	2	17
1940117	03/20/2013	Away	99	Long Beach St.	200:00	21	63	5	16	19	23	66	9	15	24	10	13	9		20
1940117	03/20/2013	Home	51	Baylor	200:00	40	63	16	23	16	25	112	12	35	47	31	14	5	4	18
1940114	03/20/2013	Away	493	North Dakota St.	225:00	26	61	7	22	12	12	71	13	23	36	14	14	5	5	20
1940114	03/20/2013	Home	774	Western Mich.	225:00	23	55	4	14	20	26	70	12	22	34	9	12	7	5	13
1571732	02/05/2013	Away	235	Florida	200:00	23	56	10	27	13	19	69	9	24	33	15	16	5	1	19
1571732	02/05/2013	Home	31	Arkansas	200:00	28	57	8	18	16	21	80	7	27	34	19	9	6	1	17
1433813	12/08/2012	Away	692	Tennessee Tech	200:00	14	48	5	13	8	16	41	13	17	30	9	15	2		19
1433813	12/08/2012	Home	1092	Gardner-Webb	200:00	22	51	5	19	12	15	61	13	24	37	12	12	2	4	19
1359672	11/10/2012	Away	562	Quinnipiac	200:00	25	56	2	9	13	23	65	10	33	43	9	15	2	6	24
1359672	11/10/2012	Home	272	Hartford	200:00	21	53	4	15	15	25	61	7	28	35	9	10	8	1	25
